Time (sec),Cell0 (V),Cell1 (V),Cell2 (V),Percentage
23.8167791367,4.1085,4.1115,4.0935,100
47.8401100636,4.107,4.1115,4.0905,99.7793
71.8583421707,4.1175,4.104,4.089,99.4549
95.8870680332,4.1145,4.1025,4.0695,99.1624
119.9090430737,4.0665,4.0725,4.0665,98.7748
143.9320189953,4.065,4.071,4.065,98.7156
167.9519221783,4.0635,4.0695,4.0635,98.6011
191.9771430492,4.062,4.0695,4.062,98.4392
216.0010809898,4.062,4.068,4.062,98.4392
240.0230550766,4.0605,4.068,4.0605,98.3369
264.0451509953,4.0605,4.0665,4.062,98.2388
288.0636820793,4.059,4.0665,4.059,98.1913
312.0864131451,4.0575,4.065,4.059,98.0541
336.1099061966,4.056,4.065,4.059,97.9668
360.1349611282,4.056,4.062,4.0575,97.8824
384.1567389965,4.0545,4.0605,4.056,97.8006
408.1799190044,4.053,4.0605,4.0545,97.7214
432.2004752159,4.0515,4.059,4.0545,97.6063
456.2249941826,4.05,4.059,4.053,97.5317
480.2479121685,4.047,4.0575,4.0515,97.4225
504.2702860832,4.047,4.0545,4.0515,97.316
528.2927331924,4.0455,4.053,4.05,97.1077
552.3157939911,4.0425,4.0515,4.0485,97.0734
576.3368210793,4.041,4.0485,4.0485,96.9704
600.3621571064,4.0395,4.0485,4.0455,96.8326
624.384237051,4.0365,4.0455,4.0455,96.6931
648.4047970772,4.0335,4.044,4.0425,96.5869
672.4292321205,4.032,4.041,4.041,96.3306
696.4503071308,4.0305,4.038,4.041,96.2163
720.4741811752,4.0275,4.0365,4.0395,96.0989
744.4962542057,4.026,4.035,4.0365,95.8957
768.519146204,4.023,4.032,4.035,95.7688
792.5411891937,4.02,4.0305,4.032,95.5029
816.5632610321,4.0185,4.0275,4.0305,95.3163
840.5852789879,4.0155,4.026,4.0275,95.072
864.6081860065,4.014,4.0245,4.026,94.8151
888.630808115,4.0125,4.02,4.023,94.5453
912.6515340805,4.0095,4.02,4.0215,94.3774
936.6742751598,4.008,4.017,4.0185,94.1461
960.6962811947,4.0065,4.0155,4.017,93.9067
984.7164340019,4.005,4.014,4.014,93.6592
1008.7422130108,4.002,4.011,4.011,93.4039
1032.7642290592,4.002,4.0095,4.0095,93.2733
1056.7833640575,3.999,4.008,4.008,93.0065
1080.8073070049,3.9975,4.005,4.005,92.7323
1104.8293190003,3.996,4.005,4.0035,92.4509
1128.851318121,3.9945,4.002,4.0005,92.3077
1152.8752200604,3.9945,4.002,3.999,92.0163
1176.8972489834,3.9915,4.0005,3.9975,91.7935
1200.9182901383,3.99,3.999,3.996,91.5673
1224.9403281212,3.99,3.9975,3.9945,91.2606
1248.9623320103,3.9885,3.996,3.993,91.1831
1272.9862451553,3.987,3.9945,3.99,90.8697
1297.0072770119,3.987,3.993,3.9885,90.711
1321.0292921066,3.984,3.9915,3.987,90.5512
1345.0513641834,3.984,3.99,3.987,90.3902
1369.0733652115,3.9825,3.99,3.9855,89.9828
1393.0953631401,3.981,3.9885,3.9825,89.8181
1417.1192719936,3.9795,3.987,3.981,89.7354
1441.1402981281,3.978,3.9855,3.981,89.5693
1465.1633272171,3.978,3.9855,3.9795,89.1502
1489.1853392124,3.9765,3.9825,3.9795,89.1502
1513.2063779831,3.9765,3.9825,3.9765,88.9812
1537.2283921242,3.975,3.9825,3.9765,88.7263
1561.2513041496,3.975,3.981,3.975,88.4701
1585.2743241787,3.9735,3.9795,3.9735,88.3843
1609.2922830582,3.972,3.9795,3.972,88.2984
1633.3159160614,3.9705,3.978,3.972,88.1263
1657.3394081593,3.9705,3.9765,3.9705,87.9536
1681.361426115,3.9705,3.9765,3.969,87.7805
1705.383436203,3.969,3.9765,3.969,87.607
1729.4063310623,3.9675,3.975,3.969,87.5201
1753.4283452034,3.9675,3.9735,3.966,87.3461
1777.4513700008,3.9675,3.972,3.966,87.259
1801.4704840183,3.9675,3.972,3.9645,86.9971
1825.4944450855,3.966,3.972,3.963,87.0845
1849.5164470673,3.966,3.9705,3.963,86.9097
1873.5384662151,3.9645,3.969,3.9615,86.7347
1897.5613679886,3.963,3.969,3.9615,86.472
1921.5833950043,3.963,3.969,3.96,86.472
1945.6023361683,3.963,3.969,3.96,86.3843
1969.6284351349,3.9615,3.9675,3.9585,86.209
1993.6478641033,3.9615,3.966,3.957,86.1212
2017.671487093,3.96,3.966,3.957,86.0335
2041.6914880276,3.96,3.9645,3.9555,85.9458
2065.7154860497,3.96,3.9645,3.9555,85.6826
2089.7342810631,3.9585,3.9645,3.9555,85.6826
2113.760433197,3.9585,3.9645,3.954,85.5071
2137.782004118,3.9585,3.963,3.954,85.5071
2161.8054590225,3.957,3.963,3.954,85.3317
2185.8256649971,3.9555,3.9615,3.9525,84.9812
2209.8485181332,3.9555,3.9615,3.9525,85.0688
2233.8703200817,3.954,3.96,3.951,84.9812
2257.8925290108,3.954,3.9585,3.951,84.8936
2281.9141612053,3.954,3.96,3.951,84.5439
2305.9384460449,3.9525,3.9585,3.9495,84.5439
2329.9604640007,3.9525,3.957,3.948,84.6313
2353.9824771881,3.9525,3.9555,3.948,84.3692
2378.0044901371,3.951,3.957,3.948,84.1948
2402.0255081654,3.951,3.9555,3.9465,84.0207
2426.0485169888,3.9495,3.9555,3.945,84.0207
2450.0705301762,3.951,3.9555,3.9465,83.8468
2474.091573,3.9495,3.954,3.945,83.8468
2498.1102662087,3.948,3.9525,3.945,83.6732
2522.1356010437,3.948,3.9525,3.9435,83.6732
2546.1575980187,3.9465,3.951,3.9435,83.4133
2570.175932169,3.9465,3.951,3.942,83.4133
2594.2015872002,3.9465,3.9495,3.9405,83.1542
2618.2236070633,3.945,3.948,3.939,83.0679
2642.2456161976,3.945,3.948,3.939,82.9818
2666.2676270008,3.9435,3.948,3.939,82.8957
2690.289632082,3.942,3.9465,3.939,82.7239
2714.3097820282,3.942,3.9465,3.9375,82.5525
2738.3336369991,3.9405,3.945,3.936,82.3813
2762.3506960869,3.9405,3.945,3.936,82.2106
2786.3776421547,3.939,3.9435,3.936,82.2106
2810.3996400833,3.939,3.9435,3.9345,82.0403
2834.4216661453,3.9375,3.942,3.933,81.9552
2858.4445660114,3.936,3.9405,3.933,81.7007
2882.4651861191,3.936,3.9405,3.9315,81.5315
2906.4885621071,3.9345,3.939,3.93,81.4471
2930.5096781254,3.9345,3.9375,3.9285,81.3627
2954.5316791535,3.9345,3.9375,3.9285,81.1943
2978.5520341396,3.933,3.9375,3.9285,80.9424
3002.5757021904,3.9315,3.936,3.927,80.8586
3026.5929830074,3.9315,3.9345,3.927,80.6913
3050.6159071922,3.93,3.9345,3.9255,80.5243
3074.6416480541,3.93,3.9345,3.9255,80.3578
3098.6639351845,3.9285,3.9315,3.924,80.3578
3122.6866140366,3.9285,3.9315,3.9225,80.0257
3146.7058131695,3.927,3.9315,3.921,79.9428
