Time (sec),Cell0 (V),Cell1 (V),Cell2 (V)
16.128636121749878,4.0575,4.0860,4.0635
34.143693923950195,4.1025,4.0965,4.0620
52.160990953445435,4.0485,4.1115,4.0620
70.17530512809753,4.0470,4.1115,4.0905
88.19201493263245,4.0800,4.1010,4.0860
106.20662903785706,4.0650,4.0815,4.0845
124.2219569683075,4.0635,4.0800,4.0830
142.23606705665588,4.0620,4.0770,4.0830
160.2508580684662,4.0620,4.0770,4.0815
178.26886796951294,4.0605,4.0770,4.0815
196.28450202941895,4.0590,4.0755,4.0785
214.2954969406128,4.0575,4.0740,4.0785
232.31405401229858,4.0560,4.0740,4.0770
250.32465600967407,4.0560,4.0725,4.0770
268.3439280986786,4.0545,4.0725,4.0755
286.3580400943756,4.0530,4.0725,4.0755
304.37294006347656,4.0515,4.0710,4.0740
322.3885579109192,4.0515,4.0710,4.0740
340.4070770740509,4.0515,4.0695,4.0725
358.41813111305237,4.0485,4.0695,4.0725
376.43610310554504,4.0485,4.0680,4.0710
394.4508271217346,4.0470,4.0680,4.0710
412.46128010749817,4.0455,4.0665,4.0710
430.47942209243774,4.0440,4.0650,4.0710
448.49496603012085,4.0425,4.0665,4.0695
466.5099239349365,4.0425,4.0650,4.0695
484.5251450538635,4.0410,4.0635,4.0680
502.54010796546936,4.0410,4.0620,4.0680
520.554062128067,4.0380,4.0620,4.0680
538.5688800811768,4.0380,4.0620,4.0680
556.5842161178589,4.0365,4.0605,4.0665
574.598109960556,4.0365,4.0605,4.0665
592.6131191253662,4.0335,4.0590,4.0665
610.6278619766235,4.0335,4.0575,4.0665
628.6391680240631,4.0320,4.0575,4.0665
646.6609101295471,4.0305,4.0560,4.0650
664.6748690605164,4.0305,4.0545,4.0635
682.6878271102905,4.0290,4.0545,4.0650
700.7047350406647,4.0275,4.0530,4.0635
718.7199730873108,4.0275,4.0515,4.0635
736.7330160140991,4.0260,4.0515,4.0635
754.7488350868225,4.0245,4.0500,4.0635
772.7613599300385,4.0230,4.0500,4.0620
790.7749609947205,4.0230,4.0485,4.0620
808.7901480197906,4.0215,4.0470,4.0620
826.8049139976501,4.0215,4.0455,4.0620
844.820219039917,4.0200,4.0440,4.0605
862.8341760635376,4.0185,4.0440,4.0620
880.8491699695587,4.0170,4.0425,4.0605
898.8639879226685,4.0170,4.0425,4.0605
916.8791840076447,4.0155,4.0410,4.0605
934.8931849002838,4.0155,4.0395,4.0605
952.9079270362854,4.0140,4.0395,4.0590
970.9231879711151,4.0125,4.0380,4.0590
988.9381921291351,4.0125,4.0365,4.0590
1006.9522850513458,4.0125,4.0350,4.0575
1024.9670779705048,4.0110,4.0350,4.0575
1042.981961965561,4.0110,4.0335,4.0575
1060.9972250461578,4.0095,4.0335,4.0575
1079.0112669467926,4.0080,4.0320,4.0560
1097.0262279510498,4.0080,4.0320,4.0560
1115.0412299633026,4.0080,4.0305,4.0545
1133.055023908615,4.0065,4.0290,4.0545
1151.0702331066132,4.0050,4.0275,4.0545
1169.085233926773,4.0050,4.0275,4.0530
1187.1002349853516,4.0035,4.0260,4.0530
1205.1141440868378,4.0035,4.0245,4.0530
1223.1250278949738,4.0020,4.0230,4.0515
1241.140249967575,4.0020,4.0215,4.0500
1259.1550669670105,4.0005,4.0215,4.0500
1277.1654069423676,4.0005,4.0200,4.0500
1295.1842589378357,4.0005,4.0200,4.0485
1313.1992030143738,3.9990,4.0185,4.0485
1331.2132649421692,3.9975,4.0170,4.0470
1349.228019952774,3.9975,4.0185,4.0470
1367.243369102478,3.9975,4.0155,4.0470
1385.2580881118774,3.9975,4.0140,4.0455
1403.2722918987274,3.9960,4.0140,4.0440
1421.2873380184174,3.9945,4.0125,4.0440
1439.3022809028625,3.9945,4.0125,4.0440
1457.3172810077667,3.9945,4.0125,4.0425
1475.331386089325,3.9930,4.0110,4.0410
1493.345263004303,3.9930,4.0095,4.0410
1511.3594720363617,3.9915,4.0095,4.0395
1529.371304988861,3.9915,4.0080,4.0395
1547.3863079547882,3.9915,4.0080,4.0380
1565.4013199806213,3.9900,4.0080,4.0380
1583.4121460914612,3.9900,4.0065,4.0365
1601.4303181171417,3.9900,4.0065,4.0365
1619.4453139305115,3.9885,4.0050,4.0350
1637.4603259563446,3.9885,4.0050,4.0335
1655.4708580970764,3.9885,4.0035,4.0320
1673.4890270233154,3.9885,4.0035,4.0320
1691.5018620491028,3.9870,4.0020,4.0305
1709.517688035965,3.9870,4.0020,4.0290
1727.5330040454865,3.9855,4.0020,4.0275
1745.547189950943,3.9855,4.0005,4.0260
1763.559350013733,3.9855,4.0005,4.0260
1781.5743579864502,3.9840,3.9990,4.0260
1799.58828997612,3.9840,3.9975,4.0245
1817.5996758937836,3.9840,3.9990,4.0230
1835.6179931163788,3.9840,3.9975,4.0215
1853.6333720684052,3.9825,3.9960,4.0200
1871.6473231315613,3.9825,3.9960,4.0200
1889.6594760417938,3.9825,3.9960,4.0200
1907.6772220134735,3.9810,3.9960,4.0185
1925.6921679973602,3.9810,3.9945,4.0170
1943.706388950348,3.9810,3.9930,4.0155
1961.7203550338745,3.9795,3.9930,4.0140
1979.732388973236,3.9795,3.9930,4.0125
1997.746225118637,3.9795,3.9930,4.0140
2015.7612490653992,3.9795,3.9930,4.0125
2033.7764070034027,3.9795,3.9915,4.0110
2051.7913110256195,3.9765,3.9915,4.0110
2069.805422067642,3.9780,3.9900,4.0095
2087.8204119205475,3.9780,3.9900,4.0080
2105.835410118103,3.9765,3.9900,4.0065
2123.8504300117493,3.9765,3.9885,4.0050
2141.8644309043884,3.9765,3.9885,4.0065
2159.8792691230774,3.9750,3.9885,4.0035
2177.894434928894,3.9765,3.9870,4.0035
2195.9073679447174,3.9750,3.9870,4.0020
2213.919429063797,3.9750,3.9870,4.0020
